Subj,Trial,Probe,Env,Env_Probe,Pk_Vel,travel_dur,Harvest_dur,Move_dur,Order,Reward,Reward_rate,grip_force,grip_force2,Probe2,Fml,hazard_first_time,rem_time,time_in_patch
1,1,0,0,0,0.371321125473341,NaN,2210,NaN,1,10,0.00385356454720617,10.8401503062408,NaN,0,0,2215,0,2595
1,2,0,0,0,0.513305836776446,885,2235,1015,1,10,0.00332778702163062,9.65757213196744,10.8401503062408,0,0,2240,0,3005
1,3,0,0,0,0.465412538137516,925,1720,955,1,9,0.00372670807453416,9.9731606155002,9.65757213196744,0,0,1725,0,2415
1,4,0,0,0,0.51348113638881,890,1695,1090,1,9,0.00358565737051793,9.85142966146771,9.9731606155002,0,0,1700,0,2510
1,5,0,0,0,0.499435730281141,860,1500,1140,1,8,0.00351648351648352,9.49268184686798,9.85142966146771,0,0,1505,0,2275
1,6,0,0,0,0.517378560480284,840,1410,1015,1,8,0.00361990950226244,9.36533874932651,9.49268184686798,0,0,1415,0,2210
1,7,0,0,0,0.451282313460228,955,1600,1120,1,8,0.00339702760084926,9.80758298184009,9.36533874932651,0,0,1605,0,2355
1,8,0,0,0,0.526643169307803,845,1625,795,1,8,0.00372093023255814,9.80300926738636,9.80758298184009,0,0,1630,0,2150
1,9,0,0,0,0.457215424805204,835,1430,685,1,8,0.00458452722063037,9.93735142956042,9.80300926738636,0,0,1435,0,1745
1,10,0,0,0,0.487266673478444,890,1660,810,1,9,0.00405405405405405,10.1431561965491,9.93735142956042,0,0,1665,0,2220
1,11,0,0,0,0.466159070813547,905,1510,840,1,8,0.00406091370558376,10.0129727172852,10.1431561965491,0,0,1515,0,1970
1,12,0,0,0,0.454643320528261,920,1750,805,1,9,0.00392156862745098,9.55882666015625,10.0129727172852,0,0,1755,0,2295
1,13,0,0,0,0.436294258444579,1020,1845,910,1,9,0.00395604395604396,10.2240050211589,9.55882666015625,0,0,1850,0,2275
1,14,0,0,0,0.44631565268255,1030,1970,1035,1,9,0.00362173038229376,9.72368576581206,10.2240050211589,0,0,1975,0,2485
1,15,0,0,0,0.470841345977169,910,1870,925,1,9,0.0038135593220339,9.75506515342311,9.72368576581206,0,0,1875,0,2360
1,16,0,0,0,0.510775400021656,795,1675,825,1,9,0.00382165605095541,9.48025984379283,9.75506515342311,0,0,1680,0,2355
1,17,0,0,0,0.462604862538166,905,1695,875,1,9,0.004,9.42869370124244,9.48025984379283,0,0,1700,0,2250
1,18,0,0,0,0.493002282406599,860,1355,735,1,8,0.00418848167539267,8.81598180577375,9.42869370124244,0,0,1360,0,1910
1,19,0,0,0,0.502833769691267,780,1595,590,1,8,0.00414507772020725,9.98987896000572,8.81598180577375,0,0,1600,0,1930
1,20,0,0,0,0.497819714143636,840,1395,890,1,8,0.00377358490566038,9.06110286061356,9.98987896000572,0,0,1400,0,2120
1,21,1,0,2,0.477983603689022,860,2130,1750,1,10,0.00274348422496571,28.2260800029613,9.06110286061356,1,0,2165,30,3645
1,22,1,0,2,0.550038193789713,750,2005,1120,1,9,0.00291734197730956,29.4487056863719,28.2260800029613,1,0,2015,0,3085
1,23,1,0,2,0.544551269281558,705,1680,1305,1,9,0.0033271719038817,30.1718504364636,29.4487056863719,1,0,1685,0,2705
1,24,1,0,2,0.509470587703018,795,1480,915,1,8,0.00380047505938242,29.3813556068822,30.1718504364636,1,0,1485,0,2105
1,25,1,0,2,0.537385843002345,760,1405,1010,1,8,0.00357941834451902,29.8381141805154,29.3813556068822,1,0,1410,0,2235
1,26,1,0,2,0.564002941692577,735,1325,1110,1,8,0.00353982300884956,29.5171635537252,29.8381141805154,0,0,1330,0,2260
1,27,1,0,2,0.471775045283723,880,1405,1380,1,8,0.0032258064516129,29.1388327261118,29.5171635537252,0,0,1410,0,2480
1,28,1,0,2,0.477577285895473,860,1470,1100,1,8,0.00336134453781513,29.7603211408634,29.1388327261118,0,0,1475,0,2380
1,29,1,0,2,0.469081515362847,890,1820,1065,1,9,0.00340264650283554,29.1053483243375,29.7603211408634,0,0,225,70,2645
1,30,1,0,2,0.529090336300962,810,1445,1095,1,8,0.00333333333333333,29.6646077909924,29.1053483243375,0,0,1450,0,2400
1,31,0,0,0,0.501129905679973,810,2070,560,1,9,0.00372670807453416,14.4613552093506,29.6646077909924,0,0,2075,0,2415
1,32,0,0,0,0.50428052396683,825,1995,945,1,9,0.0032967032967033,9.72850335482893,14.4613552093506,0,0,2000,0,2730
1,33,0,0,0,0.480905271796969,845,1755,790,1,9,0.00384615384615385,9.71802913022845,9.72850335482893,0,0,1760,0,2340
1,34,0,0,0,0.52772501890855,810,1630,740,1,9,0.00402684563758389,9.76995240357545,9.71802913022845,0,0,1635,0,2235
1,35,0,0,0,0.504701333382741,825,1645,955,1,9,0.0039647577092511,9.68988865652484,9.76995240357545,0,0,1650,0,2270
1,36,0,0,0,0.552589399805379,780,1300,705,1,8,0.00431266846361186,9.26152852911699,9.68988865652484,0,0,1305,0,1855
1,37,0,0,0,0.524832239051647,780,1240,670,1,7,0.00438871473354232,9.69400351937362,9.26152852911699,0,0,1245,0,1595
1,38,0,0,0,0.523224820476961,810,1555,650,1,8,0.00396039603960396,9.70171690742925,9.69400351937362,0,0,1560,0,2020
1,39,0,0,0,0.487925046657013,825,1830,680,1,9,0.00408163265306122,9.89409711448095,9.70171690742925,0,0,1835,0,2205
1,40,0,0,0,0.529395472481672,780,1755,665,1,9,0.00403587443946188,9.94013132132737,9.89409711448095,0,0,1760,0,2230
1,41,0,0,0,0.494902998532145,875,1595,800,1,8,0.00384615384615385,9.8732243351863,9.94013132132737,0,0,1600,0,2080
1,42,0,0,0,0.50251533175738,830,1590,585,1,8,0.00412371134020619,9.99186012432392,9.8732243351863,0,0,1595,0,1940
1,43,0,0,0,0.492369861349837,835,1860,565,1,9,0.00408163265306122,10.3513315750244,9.99186012432392,0,0,1865,0,2205
1,44,0,0,0,0.556691263085401,770,1775,720,1,9,0.00403587443946188,10.4253915405273,10.3513315750244,0,0,1780,0,2230
1,45,0,0,0,0.494819916969207,810,1895,720,1,9,0.00397350993377483,9.44461303710938,10.4253915405273,0,0,1900,0,2265
1,46,0,0,0,0.489367838002734,865,1760,750,1,9,0.00418604651162791,9.90519124575644,9.44461303710938,0,0,1765,0,2150
1,47,0,0,0,0.472180841849344,910,1860,665,1,8,0.00369515011547344,11.668980125717,9.90519124575644,0,0,1865,0,2165
1,48,0,0,0,0.437606668127941,935,1820,1130,1,9,0.00365111561866126,9.91164765148628,11.668980125717,0,0,1825,0,2465
1,49,0,0,0,0.51402299509941,800,1710,725,1,9,0.00422535211267606,9.72724191397856,9.91164765148628,0,0,1715,0,2130
1,50,0,0,0,0.528540479478296,780,1920,685,1,9,0.00368852459016393,10.0182688685826,9.72724191397856,0,0,1925,0,2440
1,51,0,0,0,0.524620871948581,775,1950,680,1,9,0.00402684563758389,10.1486194280311,10.0182688685826,0,0,1955,0,2235
1,52,0,0,0,0.490408983835342,860,1835,610,1,9,0.00414746543778802,9.79791405172909,10.1486194280311,0,0,1840,0,2170
1,53,0,0,0,0.496525983044464,875,2030,625,1,9,0.00359281437125748,10.1360561254469,9.79791405172909,0,0,2035,0,2505
1,54,0,0,0,0.501225910381426,845,1365,740,1,8,0.00434782608695652,9.44965495885486,10.1360561254469,0,0,1370,0,1840
1,55,0,0,0,0.50257299098485,870,1390,730,1,8,0.00431266846361186,9.66392627422627,9.44965495885486,0,0,1395,0,1855
1,56,0,0,0,0.538942724785385,825,1630,605,1,9,0.00444444444444444,9.97460300307676,9.66392627422627,0,0,1635,0,2025
1,57,0,0,0,0.522539945691189,810,1370,895,1,8,0.00408163265306122,9.0125095006325,9.97460300307676,0,0,1375,0,1960
1,58,0,0,0,0.524637385090243,815,1525,685,1,8,0.00393120393120393,9.86728357443856,9.0125095006325,0,0,1530,0,2035
1,59,0,0,0,0.548262298649856,765,1675,665,1,9,0.00429594272076372,9.65650561917213,9.86728357443856,0,0,1680,0,2095
1,60,0,0,0,0.562124797425935,765,1765,815,1,9,0.00362903225806452,8.84248230150011,9.65650561917213,0,0,1770,0,2480
1,61,0,0,0,0.547145719185494,730,1915,695,1,9,0.00392156862745098,9.75476514993254,8.84248230150011,0,0,1920,0,2295
1,62,0,0,0,0.561801297372427,790,1620,700,1,9,0.00407239819004525,9.30107464599609,9.75476514993254,0,0,1625,0,2210
1,63,0,0,0,0.50742394409747,850,1965,1160,1,9,0.00330882352941176,9.58904251821619,9.30107464599609,0,0,1970,0,2720
1,64,0,0,0,0.535909302283321,830,1515,740,1,8,0.00416666666666667,9.94812194824218,9.58904251821619,0,0,1520,0,1920
